,DMA_AREA,GTBible,GTQuran,GTCatholic_Church,GTMosque,GTChristianity,GTMuslim,cbsatitle,GSSProtestantRate,GSSCatholicRate,GSSJewishRate,GSSBuddaismRate,GSSMuslimRate,GSS_AREA_from_Amy,DMA_CO,CBSA_CODE
83,Ft. Smith-Fayetteville-Springdale-Rogers AR,98.0,2.0,87.33333333333331,12.666666666666664,87.0,13.0,,,,,,,,,
84,Ft. Wayne IN,96.33333333333331,3.6666666666666665,91.0,9.0,83.0,17.0,1250.0,0.7149122809999999,0.188596491,0.0,0.004385965,0.0,"Fort Wayne, IN",71.0,23060.0
85,Ft. Wayne IN,96.33333333333331,3.6666666666666665,91.0,9.0,83.0,17.0,1080.0,0.5978260870000001,0.25,0.02173913,0.0,0.0,"Cape Coral-Fort Myers, FL",71.0,15980.0
86,Gainesville FL,97.0,3.0,83.33333333333333,16.666666666666668,79.0,21.0,,,,,,,,,
87,Glendive MT,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
88,Grand Junction-Montrose CO,98.0,2.0,91.0,9.0,84.0,16.0,,,,,,,,,
89,Grand Rapids-Kalamazoo-Battle Creek MI,97.0,3.0,89.0,11.0,84.0,16.0,1277.0,0.6848072559999999,0.195011338,0.004535147,0.0,0.0,"Grand Rapids-Wyoming, MI",75.0,24340.0
90,Great Falls MT,98.0,2.0,94.0,6.0,84.0,16.0,1281.0,0.592307692,0.284615385,0.0,0.0,0.0,"Great Falls, MT",76.0,24500.0
91,Green Bay-Appleton WI,97.0,3.0,93.33333333333331,6.666666666666668,82.0,18.0,1456.0,0.40740740700000005,0.548148148,0.0,0.0,0.0,"Manitowoc, WI",77.0,31820.0
92,Green Bay-Appleton WI,97.0,3.0,93.33333333333331,6.666666666666668,82.0,18.0,975.0,0.46399999999999997,0.46399999999999997,0.008,0.0,0.0,"Appleton, WI",77.0,11540.0
93,Green Bay-Appleton WI,97.0,3.0,93.33333333333331,6.666666666666668,82.0,18.0,1283.0,0.35365853700000005,0.45731707299999996,0.0,0.0,0.0,"Green Bay, WI",77.0,24580.0
94,Greensboro-High Point-Winston Salem NC,96.66666666666669,3.333333333333333,80.0,20.0,84.0,16.0,,,,,,,,,
95,Greenville-New Bern-Washington NC,98.33333333333331,1.6666666666666667,87.33333333333331,12.666666666666664,85.0,15.0,1351.0,0.61971831,0.112676056,0.014084507,0.0,0.0,"Jacksonville, NC",79.0,27340.0
96,Greenville-Spartanburg SC-Asheville NC-Anderson SC,98.0,2.0,85.66666666666667,14.333333333333336,87.0,13.0,,,,,,,,,
97,Greenwood-Greenville MS,100.0,0.0,89.66666666666669,10.333333333333334,87.0,13.0,,,,,,,,,
98,Harlingen-Weslaco-Brownsville-McAllen TX,99.0,1.0,94.0,6.0,93.0,7.0,1476.0,0.300653595,0.647058824,0.0,0.0,0.0,"McAllen-Edinburg-Mission, TX",82.0,32580.0
99,Harrisburg-Lancaster-Lebanon-York PA,97.0,3.0,85.66666666666667,14.333333333333336,84.0,16.0,1872.0,0.610810811,0.167567568,0.005405405,0.005405405,0.005405405,"York-Hanover, PA",83.0,49620.0
100,Harrisburg-Lancaster-Lebanon-York PA,97.0,3.0,85.66666666666667,14.333333333333336,84.0,16.0,1302.0,0.732283465,0.212598425,0.0,0.0,0.0,"Harrisburg-Carlisle, PA",83.0,25420.0
101,Harrisonburg VA,96.0,4.0,81.33333333333333,18.666666666666668,85.0,15.0,,,,,,,,,
102,Hartford & New Haven CT,92.0,8.0,79.0,21.0,72.0,28.0,1867.0,0.299516908,0.519323671,0.012077295,0.004830918,0.0,"Worcester, MA-CT",85.0,49340.0
103,Hartford & New Haven CT,92.0,8.0,79.0,21.0,72.0,28.0,1305.0,0.28251121100000004,0.569506726,0.02690583,0.0,0.0,"Hartford-West Hartford-East Hartford, CT",85.0,25540.0
104,Hartford & New Haven CT,92.0,8.0,79.0,21.0,72.0,28.0,1541.0,0.381395349,0.46976744200000004,0.037209302,0.0,0.009302326,"New Haven-Milford, CT",85.0,35300.0
105,Hattiesburg-Laurel MS,99.0,1.0,89.66666666666669,10.333333333333334,89.0,11.0,,,,,,,,,
106,Helena MT,97.0,3.0,95.0,5.0,83.0,17.0,,,,,,,,,
107,Honolulu HI,98.0,2.0,89.0,11.0,83.0,17.0,,,,,,,,,
108,Houston TX,95.0,5.0,77.0,23.0,82.0,18.0,1327.0,0.585635359,0.249723757,0.014364641000000001,0.0,0.003314917,"Houston-The Woodlands-Sugar Land, TX",89.0,26420.0
109,Huntsville-Decatur (Florence) AL,99.0,1.0,87.66666666666669,12.333333333333336,87.0,13.0,1333.0,0.7901234570000001,0.012345678999999998,0.0,0.0,0.0,"Huntsville, AL",90.0,26620.0
110,Idaho Falls-Pocatello ID,96.0,4.0,89.33333333333331,10.666666666666666,78.0,22.0,,,,,,,,,
111,Indianapolis IN,97.0,3.0,85.66666666666667,14.333333333333336,83.0,17.0,1340.0,0.696202532,0.11708860800000001,0.03164557,0.0,0.0,"Indianapolis-Carmel-Anderson, IN",92.0,26900.0
112,Jackson MS,99.0,1.0,87.0,13.0,87.0,13.0,,,,,,,,,
113,Jackson TN,99.0,1.0,88.66666666666669,11.333333333333336,89.0,11.0,,,,,,,,,
114,Jacksonville FL,97.33333333333331,2.6666666666666665,86.0,14.0,82.0,18.0,1349.0,0.7222222220000001,0.19047619,0.015873016,0.0,0.0,"Jacksonville, FL",94.0,27260.0
